text,label
"holy horchata.  i always say, there's no better way to try a beverage for the first time, than to drink an entire gallon of it. and trying the horchata at america's was no exception.   i had no idea what to expect, but immediately fell in love with it. all gallon of it. second best thing to drink, next to beer, with mexican food. so, so good.  the carne asada burrito was one of the best i've ever had. ever. the beef was just so good, tasty, tender, and loads of it. the tortillas were incredible; just right so they didn't take over the burrito, but added to the flavor.  the ceviche was awesome; chopped up like salsa...whatever they do to it works. big time. it's 10:17am and i'd eat a bowl of it now...for breakfast...with milk and a spoon.   i had two different types of salsa and i loved both equally. the only reason i'm giving it 4 starts is that the veggie quesadilla was pretty far below the rest of the food. basically, it was like they put quac, shredded lettuce, and a sliced up cucumber in a tortilla and threw it in the micro. you know how all of those vegetables are all kind of the same color; blah green? that's how i'd describe the taste: blah green.   but everything else was incredible. you can eat like a king for around $20 and by like a king i mean, two burritos, chips and salsa, quesadilla, and a couple of horchatas.   next time i'm sitting on the front porch. so all of 7th can watch me feed my face, cookie monster style.",1
"i hate best buy. how dare you even call yourself ""best buy"" when you are nowhere near the ""best buy"" on anything? your prices are inflated to a point that i find offensive and your staff has to be some of the rudest, most entitled (to what, i cannot tell you) group of individuals i've ever met.   was there a couple years back with collin s. to easily get the worst customer service i've ever received while trying to buy a giant hdtv. the main tv salesman straight up refused to help me. i asked for his assistance several times, he ignored me and was just a cocky son of a bitch like helping me was somehow beneath him. it took everything out of me not to unleash a you work for me asshat on him, but somehow i refrained, probably because i am a lady : )  i ended up having to seek a manager who must've slapped his employee upside the head as all of a sudden he stopped being an asshole and was willing to help me. thoughtful of them, don't you think? willing to help me spend $1,000 at their store? that is really just soooo generous of them.  anyways, i do not like best buy. the only best buy i like is in a tiny little town called anderson, south carolina because everyone who works there is polite and i only go there once a year over thanksgiving when i'm in town visiting my grandfather. it's in the middle of nowhere so it is the calmest black friday best buy in the world, i am convinced.  to make a long story short, if you must go to best buy, avoid the one on 20th st & camelback like the plague, and hop on a plane to greenville, south carolina, you'll thank me, i'm certain of it.",0
"my wife and i had dinner here with another couple.  we all had a great time, and loved our food.  we shared two pizzas, and both were great!!  i can't wait to go again, and try other items on the list.  the place has a cool vibe, and great contemporary/modern decor.  as you're pulling up to the parlor, slow down so you don't miss the pull-in for the parking lot.  it comes up on you quickly.",1
"yup, this place is very good.   friendly service... check! fair prices... check! amazing food... check! best lemonade i've ever had... check!  they are also very knowledgeable about their food ingredients, so if you have food allergies or prefer not to indulge in certain ingredients, you will have no problem dining here.  i personally recommend the lamb, it was fantastic.",1
"cabela's store defies any category. if you're at all familiar with the name, you have probably seen a catalog of theirs lying around somewhere on your grandfather's end table. even if you aren't a fan of the outdoors, you're bound to find something of interest (or disinterest) here at cabela's.  inside this massive building you will find anything and everything you need for the outdoors or for the outdoors enthusiast on your shopping list. entire sections are devoted to guns, fishing, archery, camping and more. cabela's is the only store i've been in that has an aquarium full of fish you'd likely encounter in your outdoors excursions. feats of taxidermy are on display. deer, elk, badgers, bobcats, squirrels, animatronic hunters and more. today, i can say i've seen a stuffed and mounted elephant. there is an entire section dedicated to camouflage. i had trouble finding it at first though.  the second floor has household items for your cabin or vacation home, a candy shop and a cafeteria boasting some items you're not likely to find on a typical menu. you can dine on boar, ostrich, and venison or, if you'd rather have a good old hamburger, that's also an option. my friend that i went with opted for the venison bratwurst.   thousands of items from video games to antique guns in the gun library can be purchased. unfortunately, the one item i kept encountering in repeated locations was the official larry the cable guy ball cap with his despicable catch-phrase emblazoned upon it. i am not going to quote it here for fear of being beaten silly if i am ever spotted out in the real world. seriously. i hate that guy.  want to teach your loved ones to use weapons? an indoor shooting range is just the answer you've been looking for. you can also purchase live bait or book one of the conference rooms for your next important meeting. if a boat is on your shopping list, you can easily find one here.  so pack up the family, grab your favorite rifle and fill up the cooler with schlitz so you can head down to cabela's. it's like disneyland for montana freemen.",1
"so i was sitting at home the other day flipping through the tv channels and landed on the food network..weird. it was a bobby flay throwdown for pad thai. after watching the full episode it got me craving the classic dish. i fought off the temptation for two hours (i mean pool season is rapidly approaching ) but finally gave in. so i turned over to my trusty yelp app and tottie's came up as the overall favorite, i can now see why.  so i went for pick up and was greeted straight away. they took my chicken pad thai order (no egg...i know a staple to the dish but i can't stand them) and had it ready within 10 minutes. i went 20 mph over the speed limit the whole way home because the smell was killing me. finally i dug in and it was everything i was looking for. i went with medium spicy and it was perfect. just enough spice compared to sweet. a large portion size for the price and the noodles were perfectly cooked. sorry pei wei you just lost a pad thai customer.",1
"i have been craving indian food lately and after hearing about foi from a coworker and reading the reviews here, i decided to try it out for lunch. ok it is a buffet, i knew that, but i have been to some very good indian buffets. when i walk into any ethnic restaurant and i see people of the same ethnicity of the restaurant eating there i get excited. it must be good right?   this table must have been family and eat for free because i have had better. the naan was just ok, the tandoori chicken, meh (well i have never been a big fan of this anyway because almost anywhere it is usually just dry bland chicken to me). the butter chicken type dish with tomatoes, was ok but looked like they added red food coloring. i enjoyed the flavor of the meatball dish, the palak dish was bland. honestly the only other dish i found interesting other than the meatballs was the carrot ""pudding"" which was sauteed sweet minced carrots, went back twice just for that. the sweet rice was ok, it had raisins and coconut.  i generally prefer it without either.  i may go try it one more time and order off the menu for dinner. give it a fair chance before completely ruling it out.",0
i have to take back my 5 star rating.  this place has slowly been getting worse.  first they took our favorites off the happy hour menu which was the snap peas and asparagus.  next they changed the quality of scallops from really nice big ones to tiny cracked up walmart looking scallops.  the type i find on sale at walmart and would never buy.  they sent me a coupon for my birthday that expired 2 days before my actual birthday so my husband and i gave it another try.  the service was good but the food was lacking.  i made a point of telling my server that i noticed the difference in quality when it came to the scallops on top of the filet mignon oscar.  i asked him to make sure i didnt get the low quality tiny ones so he said something to the kitchen.  they were a little bit better than they have been but still not the quality that i had become used to when dining there.  ordered the filet medium and it came out well done.  first time they ever ruined a steak which really annoyed me but i didnt get a chance to tell the server.  manager came around checking and i just had to tell her the truth.  i told her i cant keep coming back here and justify these prices when the quality is starting to take a dive.  since i had a $25 birthday coupon they took that off as well as the glass of wine that i had.  if i were the manager i would have comped the entire meal happy bday sorry if we didnt meet up to your expectations and to ensure that my customers would return and give us another shot to impress i would give some kind of a coupon to make sure that happened.  at this point i don't think we will be back :-(,0
"it was extremely cold tonight, so jason b. and i wanted to eat something warm. so we decided to go back to cherry blossom for the second time, because we really enjoyed it the first time around.  the second go around confirmed it! this is a great restaurant!  we started with the extremely spicy gyoza pot. which consists of gyoza in an extremely spicy broth! that kind of spicy that makes you talk funny! but the combination of tasty gyoza and the spicy broth was absolutely scrumptious!   for dinner i ordered the nabeyaki udon, iron pot. a well flavored broth with seafood such as, calamari, fish, clams, scallops, and the wonderful thick udon noddles! i like my noodles thick!   if you like ramen, sushi or other types of noodles, cherryblossom is a great choice, there is something for just about everyone.",1
even better now....now with every buffet order they bring you a fresh sizzling platter of tandoori chicken to your table. can this place get any better? my favorite place ever! the staff is super attentive and you are never out of something to drink.,1
"this place kicks major boody!  its new, its huge, its very well stocked, there are various free tastings all the times.   we were the sunday and they had italian wine tasting. with real wine master present, never the less. i tasted and tasted and tasted some more lol probably tasted 1 1/2 glass worth of different italian wines. of course, i bought a bottle too - can not just taste and buy nothing.   their prices are somewhat on the higher end of the spectrum, not as high as aj's of course. but produce seems to be fresh and variety is nice. that theme pretty much goes through entire store.   if i lived really near by i would have gone in there way more often, but for 20 min drive i do not go there too much. all in all, it is great to have such store in the vicinity.  ""i like""",1
"the bar itself, for drinks only, is ok.  it's very alpha-male but ok.....i can live with that.  the food is terrible.  myself and three others ordered different items.  i got the pulled pork...and it was about as good as wendy's.  even the hamburgers were below average.  not just me saying this...three of my buddies as well.  bottom line -- ok for a beer or two but skip the food for sure.",0
"2 stars for now. i know they just opened but...  first of all, a star for the decor and ambiance. it's so cute and colorful and comfy! we were worried there would be a wait (the place seemed packed) but were able to snag a spacious booth overlooking the kitchen. this may seem like a great idea, but i was able to watch food get sent back (3 different meals in the time we waited for ours) and see how long certain plates were left under hot lamps. being able to watch the kitchen in action is neat in theory, but if you're well-versed in the ways of restaurant life, you'll catch these problems easily.  another star for service. our server was sweet but slow...because i think she was overwhelmed. she would disappear for long stretches (as in, i couldn't find her in the whole place) and it took forever for coffee refills because they were out of glasses. again, i don't fault her at all. i think that she must have been slammed. every table in the place was taken.  the food? well. i ordered the scottsdale burrito, and subbed cheddar for the goat cheese. instead, it came with no cheese. the menu promised hash browns inside the burrito...and they were, and they were frozen shreds with no crisp or color to them. they blended in with the egg whites. dammit.  boyfriend ordered the odelay scramble, with a microscopic amount of chorizo. his side of breakfast potatoes was tasty, at least. why couldn't they put those potatoes in the burrito? everything was just underwhelming.   the place has a gigantic breakfast and lunch menu...maybe scale back and focus on making a smaller amount of items, but doing them really well? we both agreed we'd give them one more shot if we're in the area and only if there isn't a wait. otherwise, there are just too many solid breakfast places in scottsdale.",0
